Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
46,46,2019 05 21,@,PIT,"W,5-0",9,3,0,0,0,2,8,0,0,4.9,33,124,74,0,0,0,0,31,1,0,0,0,0,1,0,2,Todd Tichenor,"G.Marquez (5-82-W), C.Estevez (3)"
47,47,2019 05 22,@,PIT,"W,9-3",9,8,3,3,0,2,7,1,1,4.86,36,137,89,0,0,0,0,33,1,0,0,0,0,0,2,3,Tom Hallion,"J.Gray (4-57-W), B.Shaw (2), J.Diaz (99)"
48,48,2019 05 23,@,PIT,"L,6-14",8,15,14,12,2,4,5,4,1,5.01,42,153,97,1,0,1,0,37,4,0,1,0,0,1,2,6,Adam Hamari,"A.Senzatela (4-9-L), C.Bettis (3), M.Dunn (3), C.Estevez (1), J.McGee (4), 
Y.Almonte (3)"
49,49,2019 05 24,x,BAL,"W,8-6",9,10,6,6,0,2,10,3,0,5.03,38,155,98,0,0,1,1,35,4,0,0,1,0,0,0,5,Quinn Wolcott,"J.Hoffman (30-34), J.Diaz (1), M.Dunn (0), B.Shaw (1), S.Oberg (5-W)"
50,50,2019 05 25,x,BAL,"L,6-9",9,17,9,9,0,3,7,2,0,5.11,43,159,105,3,2,0,1,40,2,0,0,0,0,0,2,5,Gary Cederstrom,"K.Freeland (5-15-L), C.Bettis (1), S.Oh (6), J.McGee (1), C.Estevez (1)"
51,51,2019 05 26,x,BAL,"W,8-7",9,11,7,7,0,2,5,0,0,5.15,42,134,89,6,3,0,0,37,3,1,0,2,1,1,0,4,Marvin Hudson,"G.Marquez (4-46), M.Dunn (1-H), B.Shaw (1-H), S.Oberg (1-BW)"
52,52,2019 05 27,x,ARI,"W,4-3",11,9,3,3,0,3,6,1,0,5.09,44,174,116,2,0,2,0,40,1,1,0,0,1,0,1,6,Brian Knight,"J.Gray (4-50), J.Diaz (2), C.Estevez (1), S.Oberg (0), B.Shaw (0), S.Oh 
(1-W)"
53,53,2019 05 28,x,ARI,"W,6-2",9,9,2,2,0,2,4,1,1,5.03,39,135,87,0,0,1,0,35,2,0,1,1,0,1,1,3,John Libka,"A.Senzatela (4-46), J.Diaz (0-W), C.Bettis (2-Sv)"
54,54,2019 05 29,x,ARI,"W,5-4",9,11,4,4,0,3,11,2,0,5.01,39,162,106,0,0,0,1,35,2,0,0,1,0,0,1,5,Gerry Davis,"J.Hoffman (4-45-W), S.Oh (1-H), C.Estevez (1-H), B.Shaw (1-H), S.Oberg 
(1-Sv)"
55,55,2019 05 30,x,ARI,"W,11-10",10,16,10,10,0,2,12,3,0,5.09,45,182,120,1,0,0,0,43,2,1,0,0,0,0,3,8,Pat Hoberg,"K.Freeland (4-26), C.Bettis (1), J.Diaz (1-H), M.Dunn (3), B.Shaw (0-BSv), 
J.McGee (4), S.Oberg (0), S.Oh (0-W)"
56,56,2019 05 31,x,TOR,"W,13-6",9,11,6,6,0,5,9,2,0,5.11,41,146,91,3,2,0,0,34,2,0,0,0,2,0,2,4,Tom Woodring,"G.Marquez (4-61-W), C.Rusin (99), J.McGee (0), J.Tinoco (99)"
57,57,2019 06 01,x,TOR,"W,4-2",9,4,2,1,1,3,9,1,0,5.04,35,124,79,3,0,2,0,32,2,0,0,0,0,1,0,4,Brian O'Nora,"J.Gray (4-74-W), J.Diaz (1-H), C.Estevez (2), S.Oberg (1-Sv)"
58,58,2019 06 02,x,TOR,"W,5-1",9,6,1,1,0,4,8,0,0,4.97,37,146,87,1,0,0,0,33,0,0,0,0,0,0,1,5,James Hoye,"A.Senzatela (4-61-W), C.Bettis (2-H), M.Dunn (2), J.Diaz (0), B.Shaw (2)"
59,59,2019 06 04,@,CHC,"L,3-6",8,8,6,6,0,1,8,2,0,4.99,33,123,81,0,0,0,0,31,2,0,1,0,1,0,0,3,Ron Kulpa,"J.Hoffman (5-46-L), J.McGee (3), C.Estevez (2)"
60,60,2019 06 05,@,CHC,"L,8-9",8,10,9,9,0,2,7,1,2,5.07,36,110,67,3,3,0,1,32,3,0,0,0,0,0,1,4,Gabe Morales,"G.Marquez (4-26-L), C.Rusin (4), J.Diaz (2), B.Shaw (2)"
61,61,2019 06 06,@,CHC,"W,3-1",9,5,1,1,0,2,12,0,0,5,34,121,81,0,0,1,0,32,1,0,0,0,0,0,0,3,Marty Foster,"P.Lambert (99-73-W), J.Diaz (0-H), S.Oberg (4-Sv)"
62,62,2019 06 07,@,NYM,"W,5-1",9,6,1,1,0,2,3,1,0,4.94,34,134,84,0,0,0,0,32,2,0,0,0,0,0,2,4,Chris Segal,"A.Senzatela (4-58-W), B.Shaw (1-H), S.Oberg (0), W.Davis (23)"
63,63,2019 06 08,@,NYM,"L,3-5",8,9,5,5,0,4,10,2,1,4.95,36,125,85,2,0,0,0,31,2,0,0,0,0,0,2,3,Mike Winters,"J.Gray (6-42-L), J.McGee (3), C.Estevez (3)"
64,64,2019 06 09,@,NYM,"L,1-6",8,8,6,6,0,2,11,1,0,4.97,33,101,71,1,0,3,0,31,2,1,1,0,0,0,0,3,Tim Timmons,"J.Hoffman (4-31-L), C.Bettis (6), C.Estevez (0)"
65,65,2019 06 10,x,CHC,"W,6-5",9,7,5,5,0,3,12,3,0,4.97,37,139,89,0,0,0,0,34,0,0,0,0,0,1,0,4,Quinn Wolcott,"G.Marquez (4-51), J.Diaz (3), S.Oberg (2-BW), W.Davis (2-Sv)"
66,66,2019 06 11,x,CHC,"W,10-3",9,6,3,3,0,3,5,1,2,4.94,37,138,85,0,0,0,0,32,1,0,0,0,0,0,1,5,Gary Cederstrom,"P.Lambert (4-58-W), C.Bettis (1-H), J.Diaz (0), B.Shaw (3), P.Diehl (99)"
67,67,2019 06 12,x,CHC,"L,1-10",9,12,10,8,2,5,7,2,2,4.99,45,163,92,3,3,0,0,37,2,0,1,0,1,1,2,5,Roberto Ortiz,"A.Senzatela (4-16-L), J.McGee (3), B.Shaw (0), P.Diehl (0), C.Estevez (2)"
