Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
45,45,44331,x,SDP,"W,2-0",9,4,0,0,0,1,16,0,0,3.51,33,131,96,2,0,0,0,32,1,0,0,0,0,1,0,4,Scott Barry,"K.Maeda (4-80-W), S.Alexander (3-H), P.Baez (0-H), K.Jansen (0-Sv)"
46,46,44333,@,CIN,"W,6-0",9,3,0,0,0,1,13,0,0,3.43,30,127,91,0,0,0,0,29,0,0,0,0,0,0,1,4,Larry Vanover,"R.Hill (7-78-W), D.Floro (5), R.Stripling (11), J.Kelly (7)"
47,47,44334,@,CIN,"L,0-4",8,7,4,1,3,1,8,1,0,3.39,33,126,87,0,0,0,0,31,0,0,0,1,0,0,0,3,David Rackley,"W.Buehler (6-55-L), J.Kelly (0), C.Ferguson (20)"
48,48,44335,@,CIN,"W,8-3",9,9,3,3,0,2,6,2,0,3.38,37,136,91,1,0,1,0,35,0,0,0,0,0,0,1,3,Dan Bellino,"H.Ryu (6-71-W), C.Ferguson (0), Y.Garcia (7)"
49,49,44337,@,TBR,"W,7-3",9,10,3,3,0,1,9,0,0,3.37,37,132,92,6,3,0,0,36,4,0,0,0,0,0,0,5,Doug Eddings,"C.Kershaw (6-60-W), P.Baez (5), S.Alexander (5), D.Floro (3-H), K.Jansen (5)"
50,50,44338,@,TBR,"L,1-8",8,10,8,8,0,3,9,3,2,3.47,38,147,101,0,0,0,0,33,0,0,0,0,0,1,2,4,Bill Miller,"R.Hill (4-63), D.Floro (0-L), C.Ferguson (2), R.Stripling (4)"
51,51,44340,@,PIT,"W,10-2",9,7,2,2,0,1,6,0,1,3.44,36,156,109,0,0,0,0,34,5,0,0,0,0,0,0,4,Carlos Torres,"W.Buehler (5-63-W), R.Stripling (1), S.Alexander (2), Y.Garcia (4)"
52,52,44341,@,PIT,"W,7-2",9,11,2,2,0,0,5,0,0,3.41,37,132,93,0,0,0,0,36,3,0,0,1,0,0,2,3,Nic Lentz,"H.Ryu (5-47-W), J.Urias (14), S.Alexander (0)"
53,53,44342,@,PIT,"W,11-7",9,12,7,7,0,2,7,2,0,3.48,41,147,102,0,0,0,0,39,1,0,0,0,0,0,0,5,Dana DeMuth,"K.Maeda (10-49-W), C.Ferguson (3), P.Baez (4), Y.Garcia (1), R.Stripling (1)"
54,54,44343,x,NYM,"W,9-5",9,15,5,5,0,2,9,2,0,3.51,42,160,100,4,0,0,0,40,3,1,0,0,0,1,1,5,Stu Scheurwater,"C.Kershaw (5-44-W), P.Baez (0), J.Kelly (8), D.Floro (4-H), K.Jansen (5-Sv)"
55,55,44344,x,NYM,"L,3-7",9,10,7,6,1,6,9,2,0,3.56,43,183,121,4,3,1,1,36,3,1,0,1,0,1,1,6,Mark Wegner,"R.Hill (5-57), Y.Garcia (1-L), D.Floro (0), S.Alexander (2), R.Stripling 
(1), J.Kelly (0)"
56,56,44345,x,NYM,"W,9-8",9,13,8,8,0,3,8,4,0,3.64,42,168,111,0,0,0,1,38,4,0,0,1,0,1,0,5,Alan Porter,"W.Buehler (4-38), P.Baez (1), J.Urias (3), Y.Garcia (0), S.Alexander (0-W)"
57,57,44346,x,NYM,"W,2-0",9,4,0,0,0,1,9,0,1,3.57,33,126,84,1,0,0,0,31,1,0,0,0,0,0,0,2,Jim Reynolds,"H.Ryu (4-77-W), K.Jansen (2-Sv)"
58,58,44347,x,PHI,"W,6-3",9,5,3,3,0,2,9,1,1,3.56,35,139,87,1,0,0,0,32,0,0,0,0,0,0,0,5,Tripp Gibson,"K.Maeda (4-64-W), R.Stripling (2-H), P.Baez (1-H), D.Floro (2), K.Jansen 
(0-Sv)"
59,59,44348,x,PHI,"W,4-3",9,7,3,2,1,0,7,1,1,3.54,35,126,87,0,0,0,0,34,1,1,0,0,0,1,1,2,Chad Fairchild,"C.Kershaw (4-69), J.Urias (2-BW)"
60,60,44349,x,PHI,"W,8-0",9,3,0,0,0,3,11,0,0,3.48,33,127,89,0,0,0,0,29,1,0,2,1,0,0,0,3,Jansen Visconti,"R.Hill (4-77-W), P.Baez (1-H), J.Kelly (4)"
61,61,44350,@,ARI,"W,3-1",9,3,1,1,0,0,11,1,0,3.44,30,114,77,0,0,0,0,30,1,0,0,0,0,0,0,2,Gary Cederstrom,"W.Buehler (4-85-W), K.Jansen (2-Sv)"
62,62,44351,@,ARI,"W,9-0",9,3,0,0,0,1,3,0,0,3.38,32,139,90,0,0,0,0,31,1,0,0,0,0,2,1,3,Marvin Hudson,"H.Ryu (4-73-W), Y.Garcia (5), S.Alexander (5)"
63,63,44352,@,ARI,"L,2-3",10,5,3,3,0,4,11,0,1,3.37,40,154,105,0,0,1,0,35,2,1,1,0,0,0,0,5,Adrian Johnson,"K.Maeda (4-65), J.Urias (3-H), P.Baez (2-BSv), R.Stripling (4), S.Alexander 
(0-L)"
64,64,44354,@,SFG,"L,1-2",8,7,2,2,0,2,4,0,0,3.35,32,110,77,0,0,0,0,30,0,0,1,0,0,0,2,2,Eric Cooper,"C.Kershaw (5-60-L), D.Floro (6)"
65,65,44355,@,SFG,"W,7-2",9,8,2,2,0,5,12,1,0,3.33,40,163,102,0,0,1,0,35,1,0,0,0,0,0,1,4,Andy Fletcher,"R.Hill (5-48-W), J.Urias (2-H), J.Kelly (5), Y.Garcia (3)"
66,66,44356,@,SFG,"W,1-0",9,5,0,0,0,2,12,0,0,3.28,34,129,93,0,0,1,0,32,1,0,0,0,0,0,0,3,Will Little,"W.Buehler (5-75-W), P.Baez (3-H), K.Jansen (5-Sv)"
67,67,44357,@,LAA,"L,3-5",8,9,5,4,1,3,11,2,1,3.3,37,154,99,1,1,0,0,33,1,0,1,0,0,1,0,4,Phil Cuzzi,"H.Ryu (5-60), R.Stripling (4-H), D.Floro (2-BSv), J.Kelly (1-L)"
68,68,44358,@,LAA,"L,3-5",8,6,5,5,0,4,9,2,1,3.33,35,161,98,0,0,1,0,30,0,0,1,0,0,0,0,4,Nic Lentz,"K.Maeda (5-38-L), C.Ferguson (15), P.Baez (1), R.Stripling (0)"
69,69,44360,x,CHC,"W,7-3",9,8,3,3,0,3,8,2,0,3.32,36,134,88,0,0,0,1,33,1,0,0,0,0,0,0,2,Fieldin Culbreth,"C.Kershaw (5-52-W), J.Urias (4-Sv)"
70,70,44361,x,CHC,"W,5-3",9,8,3,3,0,0,10,2,0,3.32,36,133,97,0,0,0,0,35,2,0,0,1,0,1,0,3,CB Bucknor,"R.Hill (5-58-W), P.Baez (2-H), K.Jansen (4-Sv)"
71,71,44362,x,CHC,"L,1-2",9,4,2,2,0,1,8,1,1,3.3,33,125,85,0,0,0,0,31,0,0,0,0,0,1,1,3,Chris Segal,"W.Buehler (5-77), P.Baez (0-H), K.Jansen (0-BL)"
72,72,44363,x,CHC,"W,3-2",9,9,2,0,2,1,10,0,0,3.25,37,130,93,0,0,1,0,34,0,0,0,1,1,1,1,3,D.J. Reyburn,"H.Ryu (5-67), R.Stripling (4-W), K.Jansen (0-Sv)"
73,73,44364,x,SFG,"L,2-3",9,3,3,2,1,5,8,0,0,3.23,35,155,94,0,0,0,0,30,1,0,0,0,0,0,0,4,Ryan Blakney,"K.Maeda (5-55-L), J.Urias (3), C.Ferguson (5), Y.Garcia (8)"
74,74,44365,x,SFG,"W,9-0",9,4,0,0,0,3,10,0,0,3.19,33,137,95,0,0,0,1,30,1,0,0,0,0,0,0,3,Ed Hickox,"C.Kershaw (4-75-W), D.Floro (7), J.Kelly (7)"
75,75,44366,x,SFG,"W,9-2",9,4,2,2,0,0,9,2,1,3.17,31,110,78,0,0,0,0,30,1,0,0,0,0,0,1,6,Carlos Torres,"R.Hill (4-55), D.Floro (0-W), Y.Garcia (1), C.Ferguson (1), P.Baez (3), 
J.Kelly (0)"
76,76,44367,x,SFG,"W,9-8",9,9,8,5,3,3,11,1,0,3.2,40,167,110,1,1,0,0,36,3,0,0,0,1,1,0,5,Dana DeMuth,"J.Urias (2-62), J.Chargois (70-W), R.Stripling (3), J.Sborz (99), K.Jansen 
(3-Sv)"
77,77,44368,x,COL,"W,4-2",9,3,2,2,0,0,16,2,0,3.18,30,111,83,,,0,0,30,0,0,0,0,0,0,0,1,Chad Fairchild,W.Buehler (5-89-W)
78,78,44369,x,COL,"W,5-4",11,8,4,2,2,2,11,1,0,3.16,43,177,119,0,0,0,1,41,1,0,0,0,0,0,0,7,John Libka,"H.Ryu (5-56), Y.Garcia (2), C.Ferguson (2), D.Floro (2), K.Jansen (1), 
P.Baez (2), J.Kelly (2-W)"
79,79,44370,x,COL,"W,6-3",9,10,3,3,0,2,10,1,0,3.16,39,119,84,0,0,2,0,37,1,0,0,0,0,0,0,3,Paul Emmel,"K.Maeda (5-59), P.Baez (0-BSv), K.Jansen (0-W)"
80,80,44371,@,ARI,"L,5-8",8,11,8,8,0,3,5,2,0,3.22,37,137,82,1,0,1,0,33,0,0,0,0,1,0,1,4,Stu Scheurwater,"C.Kershaw (5-43), Y.Garcia (1), D.Floro (1-L), J.Chargois (3)"
81,81,44372,@,ARI,"W,3-2",9,6,2,1,1,2,9,0,0,3.19,35,150,99,0,0,1,0,33,2,0,0,0,0,0,0,5,Mark Wegner,"R.Stripling (4-48), J.Kelly (2), J.Urias (4-W), P.Baez (1-H), K.Jansen 
(1-Sv)"
82,82,44373,@,ARI,"L,2-8",8,9,8,5,3,1,8,1,0,3.22,37,140,92,0,0,4,0,35,3,0,0,0,1,3,0,5,Alan Porter,"T.Gonsolin (99-33-L), C.Ferguson (3), Y.Garcia (1), J.Chargois (1), 
R.Martin (87)"
83,83,44374,@,COL,"W,12-8",9,16,8,8,0,3,7,1,0,3.28,45,155,100,0,0,0,0,41,4,2,0,0,1,1,1,5,Tony Randazzo,"W.Buehler (5-18), Z.Rosscup (30), Y.Garcia (0-BSv), P.Baez (1-W), K.Jansen 
(1)"
84,84,44375,@,COL,"L,9-13",8,17,13,10,3,3,8,3,0,3.36,44,159,106,3,3,0,0,40,5,0,1,0,1,2,1,5,Laz Diaz,"H.Ryu (5-19-L), J.Kelly (2), Z.Rosscup (0), D.Floro (3), J.Chargois (1)"
85,85,44376,@,COL,"L,3-5",8,7,5,4,1,1,8,1,0,3.38,32,107,74,0,0,0,0,30,0,0,0,1,0,1,1,2,Chris Guccione,"C.Kershaw (4-52-L), P.Baez (1)"
86,86,44377,@,COL,"W,10-5",9,9,5,5,0,3,9,2,0,3.4,38,177,109,2,2,0,0,35,1,1,0,0,0,0,1,5,Cory Blaser,"K.Maeda (6-52), Z.Rosscup (1), D.Floro (1-W), J.Urias (4), Y.Garcia (2)"
87,87,44379,x,ARI,"W,5-4",9,8,4,4,0,4,10,1,1,3.4,39,131,91,1,0,0,0,34,1,0,1,0,0,0,1,5,Hunter Wendelstedt,"R.Stripling (6-39), J.Kelly (3), P.Baez (2), D.Floro (1), Y.Garcia (1-W)"
88,88,44380,x,ARI,"W,5-4",10,10,4,4,0,0,11,2,0,3.41,40,143,111,0,0,0,0,40,1,0,0,0,0,0,0,4,Vic Carapazza,"W.Buehler (5-56), P.Baez (0), K.Jansen (5), J.Kelly (0-W)"
89,89,44381,x,SDP,"W,5-1",9,5,1,0,1,3,12,0,0,3.37,34,141,95,1,0,0,0,31,0,0,0,0,0,0,1,4,Tom Hallion,"H.Ryu (5-68-W), D.Floro (1), Z.Rosscup (3), J.Chargois (5)"
90,90,44382,x,SDP,"L,2-3",9,6,3,2,1,1,12,1,1,3.35,36,123,89,0,0,0,0,32,1,0,0,1,0,0,0,2,Sean Barber,"C.Kershaw (5-69), Y.Garcia (2-L)"
91,91,44383,x,SDP,"L,1-3",9,4,3,3,0,1,8,2,1,3.35,32,110,76,1,0,0,0,30,0,0,0,0,0,1,2,3,Adam Hamari,"K.Maeda (5-64-L), Z.Rosscup (1), J.Kelly (2)"
92,92,44384,x,SDP,"L,3-5",9,8,5,5,0,0,11,3,0,3.37,34,138,96,2,2,0,0,34,1,0,0,0,0,0,1,6,Todd Tichenor,"R.Stripling (4-38-L), P.Baez (3), D.Floro (2), J.Chargois (2), J.Urias (6), 
K.Jansen (3)"
93,93,44389,@,BOS,"L,1-8",8,8,8,8,0,3,8,3,0,3.42,35,131,86,3,2,0,0,31,4,0,1,0,1,0,1,4,Phil Cuzzi,"K.Maeda (5-55-L), P.Baez (4), J.Chargois (4), Z.Rosscup (5)"
94,94,44390,@,BOS,"W,11-2",9,6,2,2,0,1,10,1,0,3.4,33,124,87,0,0,2,1,32,0,0,0,0,0,0,0,4,Brennan Miller,"R.Stripling (5-62-W), J.Kelly (6), J.Urias (5), J.Chargois (0)"
95,95,44391,@,BOS,"W,7-4",12,11,4,2,2,6,15,2,0,3.38,53,196,126,4,0,1,0,46,2,0,2,1,0,1,0,7,Pat Hoberg,"H.Ryu (9-64), P.Baez (1-BSv), Z.Rosscup (1), Y.Garcia (8), K.Jansen (6), 
D.Floro (6-W), J.Kelly (0-Sv)"
96,96,44392,@,PHI,"W,16-2",9,7,2,2,0,2,10,1,1,3.36,39,144,98,0,0,0,0,34,2,1,0,0,1,1,0,3,Doug Eddings,"C.Kershaw (9-65-W), Y.Garcia (0), C.Sadler (16)"
97,97,44393,@,PHI,"L,8-9",8.1,8,9,5,4,4,9,3,0,3.38,39,146,95,0,0,0,0,35,2,0,0,0,0,2,0,4,Chris Conroy,"W.Buehler (12-52), P.Baez (1), Y.Garcia (0), K.Jansen (1-BL)"
98,98,44394,@,PHI,"W,7-2",9,2,2,0,2,6,10,0,0,3.35,36,163,99,4,1,0,1,30,0,0,1,0,0,2,0,6,Jansen Visconti,"K.Maeda (4-57), C.Sadler (1), J.Urias (3-H), P.Baez (0-BW), J.Kelly (2), 
D.Floro (2)"
